;NomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;Fornecedor;CNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
4816;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;19126;0;6/22/2017 0:00;50.0;0.0;50.0;6;2017;0;;;1399507;5890.0;0.0;2408;6323070
4817;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;15721;0;1/18/2017 0:00;100.0;0.0;100.0;1;2017;0;;;1351431;5694.0;0.0;2408;6188651
4818;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;14072;0;6/12/2017 0:00;35.0;0.0;35.0;6;2017;0;;;1395076;5876.0;0.0;2408;6310526
4819;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;34024;0;1/2/2017 0:00;240.01;0.0;240.01;1;2017;0;;;1351431;5694.0;0.0;2408;6188652
4820;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;75613;0;4/13/2017 0:00;150.0;0.0;150.0;4;2017;0;;;1377717;5828.0;0.0;2408;6266143
4821;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;Cascol Combustíveis para Veículos Ltda;307000000000.0;10237;0;4/29/2017 0:00;50.0;0.0;50.0;4;2017;0;;;1382670;5833.0;0.0;2408;6273931
4822;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;Cascol Combustíveis para Veículos Ltda;307000000000.0;4688;0;4/12/2017 0:00;100.0;0.0;100.0;4;2017;0;;;1377717;5828.0;0.0;2408;6266138
4823;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;27205;0;7/4/2017 0:00;190.01;0.0;190.01;7;2017;0;;;1400825;5889.0;0.0;2408;6327235
4824;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;11630;0;2/8/2017 0:00;40.0;0.0;40.0;2;2017;0;;;1366565;5788.0;0.0;2408;6232167
4825;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;123537;0;5/28/2017 0:00;85.54;0.0;85.54;5;2017;0;;;1391382;5862.0;0.0;2408;6299870
4826;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;123547;0;5/28/2017 0:00;185.02;0.0;185.02;5;2017;0;;;1391382;5862.0;0.0;2408;6299879
4827;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;181;0;1/25/2017 0:00;70.0;0.0;70.0;1;2017;0;;;1351914;5694.0;0.0;2408;6190227
4828;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;25624;0;2/23/2017 0:00;100.0;0.0;100.0;2;2017;0;;;1363512;5761.0;0.0;2408;6224591
4829;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;3314;0;1/15/2017 0:00;229.99;0.0;229.99;1;2017;0;;;1351914;5694.0;0.0;2408;6190225
4830;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;39522;0;3/10/2017 0:00;210.04;0.0;210.04;3;2017;0;;;1366566;5788.0;0.0;2408;6232182
4831;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;58661;0;3/28/2017 0:00;50.0;0.0;50.0;3;2017;0;;;1371494;5798.0;0.0;2408;6247391
4832;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;89492;0;4/27/2017 0:00;136.98;0.0;136.98;4;2017;0;;;1387114;5844.0;0.0;2408;6287378
4833;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;10976;0;3/14/2017 0:00;165.02;0.0;165.02;3;2017;0;;;1370728;5788.0;0.0;2408;6244781
4834;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;11633;0;3/21/2017 0:00;175.05;0.0;175.05;3;2017;0;;;1370703;5788.0;0.0;2408;6244630
4835;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;16669;0;3/28/2017 0:00;172.01;0.0;172.01;3;2017;0;;;1374485;5819.0;0.0;2408;6255849
4836;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;18663;0;3/31/2017 0:00;70.0;0.0;70.0;3;2017;0;;;1374485;5819.0;0.0;2408;6255842
4837;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;215;0;2/14/2017 0:00;174.01;0.0;174.01;2;2017;0;;;1358292;5727.0;0.0;2408;6209261
4838;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;31167;0;2/1/2017 0:00;189.02;0.0;189.02;2;2017;0;;;1355259;5709.0;0.0;2408;6200226
4839;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;31645;0;2/7/2017 0:00;175.4;0.0;175.4;2;2017;0;;;1358292;5727.0;0.0;2408;6209263
4840;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;32048;0;2/12/2017 0:00;70.0;0.0;70.0;2;2017;0;;;1360764;5739.0;0.0;2408;6217341
4841;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;37377;0;5/2/2017 0:00;170.02;0.0;170.02;5;2017;0;;;1387115;5844.0;0.0;2408;6287371
4842;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;44419;0;5/15/2017 0:00;200.0;0.0;200.0;5;2017;0;;;1387115;5844.0;0.0;2408;6287324
4843;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;4857;0;2/23/2017 0:00;184.95;0.0;184.95;2;2017;0;;;1363512;5761.0;0.0;2408;6224583
